Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team
1924,Bobsled,Men's Four/Five,Switzerland,Men,1,gold,Switzerland-1
1924,Bobsled,Men's Four/Five,Britain,Men,2,silver,Britain-1
1924,Bobsled,Men's Four/Five,Belgium,Men,3,bronze,Belgium-1
1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Thorleif Haug
1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,Johan GrÃ¸ttumsbraaten
1924,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Tapani Niku
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,1,gold,Thorleif Haug
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,2,silver,Thoralf StrÃ¸mstad
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Johan GrÃ¸ttumsbraaten
1924,Curling,Men's Curling,Britain,Men,1,gold,Britain
1924,Curling,Men's Curling,Sweden,Men,2,silver,Sweden
1924,Curling,Men's Curling,France,Men,3,bronze,France
1924,Figure Skating,Men's Singles,Sweden,Men,1,gold,Gillis GrafstrÃ¶m
1924,Figure Skating,Men's Singles,Austria,Men,2,silver,Willy BÃ¶ckl
1924,Figure Skating,Men's Singles,Switzerland,Men,3,bronze,Georges Gautschi
1924,Figure Skating,Mixed Pairs,Austria,Mixed,1,gold,Austria
1924,Figure Skating,Mixed Pairs,Finland,Mixed,2,silver,Finland
1924,Figure Skating,Mixed Pairs,France,Mixed,3,bronze,France-1
1924,Figure Skating,Women's Singles,Austria,Women,1,gold,Herma Planck-Szabo
1924,Figure Skating,Women's Singles,United States,Women,2,silver,Beatrix Loughran
1924,Figure Skating,Women's Singles,Britain,Women,3,bronze,Ethel Muckelt
1924,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada
1924,Ice Hockey,Men's Ice Hockey,United States,Men,2,silver,United States
1924,Ice Hockey,Men's Ice Hockey,Britain,Men,3,bronze,Britain
1924,Biathlon,Men's Military Ski Patrol,Switzerland,Men,1,gold,Switzerland
1924,Biathlon,Men's Military Ski Patrol,Finland,Men,2,silver,Finland
1924,Biathlon,Men's Military Ski Patrol,France,Men,3,bronze,France
1924,Nordic Combined,Men's Individual,Norway,Men,1,gold,Thorleif Haug
1924,Nordic Combined,Men's Individual,Norway,Men,2,silver,Thoralf StrÃ¸mstad
1924,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Johan GrÃ¸ttumsbraaten
1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Jacob Tullin Thams
1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Narve Bonna
1924,Ski Jumping,"Men's Normal Hill, Individual",United States,Men,3,bronze,Anders Haugen
1924,Speedskating,Men's 500 Meters,United States,Men,1,gold,Charley Jewtraw
1924,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Oskar Olsen
1924,Speedskating,Men's 500 Meters,Norway,Men,3,bronze,Roald Larsen
1924,Speedskating,Men's 500 Meters,Finland,Men,3,bronze,Clas Thunberg
1924,Speedskating,"Men's 1,500 Meters",Finland,Men,1,gold,Clas Thunberg
1924,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Roald Larsen
1924,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Sigurd Moen
1924,Speedskating,"Men's 5,000 Meters",Finland,Men,1,gold,Clas Thunberg
1924,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Julius Skutnabb
1924,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Roald Larsen
1924,Speedskating,"Men's 10,000 Meters",Finland,Men,1,gold,Julius Skutnabb
1924,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Clas Thunberg
1924,Speedskating,"Men's 10,000 Meters",Norway,Men,3,bronze,Roald Larsen
1924,Speedskating,Men's Allround,Finland,Men,1,gold,Clas Thunberg
1924,Speedskating,Men's Allround,Norway,Men,2,silver,Roald Larsen
1924,Speedskating,Men's Allround,Finland,Men,3,bronze,Julius Skutnabb
1928,Bobsled,Men's Four/Five,United States,Men,1,gold,United States-2
1928,Bobsled,Men's Four/Five,United States,Men,2,silver,United States-1
1928,Bobsled,Men's Four/Five,Germany,Men,3,bronze,Germany-2
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,Ole Hegge
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,3,bronze,Reidar Ã˜degÃ¥rd
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Per Erik Hedlund
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Gustaf Jonsson
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,3,bronze,Volger Andersson
1928,Figure Skating,Men's Singles,Sweden,Men,1,gold,Gillis GrafstrÃ¶m
1928,Figure Skating,Men's Singles,Austria,Men,2,silver,Willy BÃ¶ckl
1928,Figure Skating,Men's Singles,Belgium,Men,3,bronze,Robert Van Zeebroeck
1928,Figure Skating,Mixed Pairs,France,Mixed,1,gold,France
1928,Figure Skating,Mixed Pairs,Austria,Mixed,2,silver,Austria-1
1928,Figure Skating,Mixed Pairs,Austria,Mixed,3,bronze,Austria-2
1928,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie
1928,Figure Skating,Women's Singles,Austria,Women,2,silver,Fritzi Burger
1928,Figure Skating,Women's Singles,United States,Women,3,bronze,Beatrix Loughran
1928,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada
1928,Ice Hockey,Men's Ice Hockey,Sweden,Men,2,silver,Sweden
1928,Ice Hockey,Men's Ice Hockey,Switzerland,Men,3,bronze,Switzerland
1928,Nordic Combined,Men's Individual,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten
1928,Nordic Combined,Men's Individual,Norway,Men,2,silver,Hans Vinjarengen
1928,Nordic Combined,Men's Individual,Norway,Men,3,bronze,John Snersrud
1928,Skeleton,Men's Skeleton,United States,Men,1,gold,Jennison Heaton
1928,Skeleton,Men's Skeleton,United States,Men,2,silver,Jack Heaton
1928,Skeleton,Men's Skeleton,Britain,Men,3,bronze,"David, Earl of Northesk"
